"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chrI",37,347,311,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_1",34,".",2.33994,6.63725,3.43038,55,"Promoter (<=1kb)",1,335,649,315,1,"YAL069W","YAL069W",0
"chrI",32368,32592,225,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_2",19,".",1.66992,4.42591,1.95592,164,"Promoter (<=1kb)",1,31567,32940,1374,1,"YAL062W","YAL062W",801
"chrI",33598,33822,225,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_3",18,".",1.63852,4.26467,1.84921,137,"Promoter (<=1kb)",1,33448,34701,1254,1,"YAL061W","YAL061W",150
"chrI",46331,46602,272,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_4",28,".",1.75364,5.81856,2.87712,189,"Promoter (<=1kb)",1,45899,48250,2352,1,"YAL053W","YAL053W",432
"chrI",67302,67644,343,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_5",18,".",1.57522,4.18898,1.80146,232,"Promoter (<=1kb)",1,65778,67520,1743,2,"YAL040C","YAL040C",0
"chrI",107075,107431,357,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_6",22,".",1.68089,4.86304,2.23541,78,"Promoter (1-2kb)",1,106272,108551,2280,2,"YAL023C","YAL023C",1120
"chrI",109616,109872,257,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_7",26,".",1.75755,5.44795,2.62322,199,"Promoter (<=1kb)",1,108877,110430,1554,2,"YAL022C","YAL022C",558
"chrI",112375,112910,536,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_8",28,".",1.7928,5.82803,2.88307,424,"Promoter (<=1kb)",1,110846,113359,2514,2,"YAL021C","YAL021C",449
"chrI",113528,114655,1128,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_9",47,".",1.98908,8.43591,4.72514,998,"Promoter (<=1kb)",1,114250,114819,570,1,"YAL019W-A","YAL019W-A",0
"chrI",127743,127958,216,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_10",27,".",1.72313,5.62044,2.74224,73,"Promoter (<=1kb)",1,126903,128102,1200,2,"YAL015C","YAL015C",144
"chrI",130992,131176,185,"*","macs_SRR500622_SRR500630_Hog1IP_mockIP_YEPD_peak_11",18,".",1.60522,4.34015,1.8997,123,"Promoter (<=1kb)",1,130799,131983,1185,1,"YAL012W","YAL012W",193
