"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chrI",190,427,238,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_1",59,".",3.03832,8.07981,5.96296,69,"Promoter (<=1kb)",1,335,649,315,1,"YAL069W","YAL069W",0
"chrI",28563,28882,320,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_2",81,".",2.33938,10.3744,8.12697,187,"Promoter (<=1kb)",1,24000,27968,3969,2,"YAL063C","YAL063C",-595
"chrI",71887,72402,516,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_3",139,".",2.3915,16.4353,13.9477,256,"Promoter (<=1kb)",1,71786,73288,1503,1,"YAL038W","YAL038W",101
"chrI",72453,73262,810,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_4",111,".",2.1564,13.5861,11.1955,357,"Promoter (<=1kb)",1,72326,73300,975,2,"YAL037C-B","YAL037C-B",38
"chrI",142836,143131,296,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_5",47,".",1.69836,6.75788,4.72627,161,"Promoter (<=1kb)",1,143707,147531,3825,1,"YAL002W","YAL002W",-576
"chrII",136034,136237,204,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_6",145,".",2.69071,17.0206,14.5147,97,"Promoter (<=1kb)",2,135998,136366,369,1,"YBL044W","YBL044W",36
"chrII",165118,165492,375,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_7",509,".",4.68558,54.0459,50.9121,140,"Promoter (<=1kb)",2,164488,164772,285,2,"YBL029C-A","YBL029C-A",-346
"chrII",197438,197655,218,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_8",79,".",2.10607,10.1896,7.95121,45,"Distal Intergenic",2,194122,195702,1581,1,"YBL015W","YBL015W",3316
"chrII",238245,238448,204,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_9",192,".",2.20308,21.926,19.2988,91,"Promoter (<=1kb)",2,237153,237467,315,2,"YBL001C","YBL001C",-778
"chrII",374624,374934,311,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_10",30,".",1.54968,4.91925,3.03318,143,"Promoter (<=1kb)",2,373861,375690,1830,2,"YBR068C","YBR068C",756
"chrII",375133,375430,298,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_11",31,".",1.5889,5.01876,3.12354,153,"Promoter (<=1kb)",2,373861,375690,1830,2,"YBR068C","YBR068C",260
"chrII",381397,381589,193,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_12",61,".",2.01073,8.32623,6.19532,91,"Promoter (<=1kb)",2,382030,382674,645,1,"YBR072W","YBR072W",-441
"chrII",418804,420092,1289,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_13",65,".",1.75998,8.74225,6.58574,177,"Promoter (<=1kb)",2,418907,419164,258,2,"YBR085C-A","YBR085C-A",0
"chrII",420417,420645,229,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_14",25,".",1.53209,4.36263,2.52977,165,"Promoter (1-2kb)",2,418907,419164,258,2,"YBR085C-A","YBR085C-A",-1253
"chrII",466237,466579,343,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_15",99,".",2.33456,12.2911,9.95453,166,"Promoter (<=1kb)",2,462870,465770,2901,2,"YBR112C","YBR112C",-467
"chrII",476739,476970,232,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_16",68,".",2.11028,9.05615,6.88173,107,"Promoter (<=1kb)",2,474392,476437,2046,2,"YBR117C","YBR117C",-302
"chrII",477177,477366,190,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_17",78,".",2.19145,10.1104,7.87646,69,"Promoter (<=1kb)",2,477671,479047,1377,1,"YBR118W","YBR118W",-305
"chrII",488619,489918,1300,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_18",100,".",1.88316,12.3867,10.0458,869,"Promoter (<=1kb)",2,487199,488380,1182,2,"YBR125C","YBR125C",-239
"chrII",490051,490832,782,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_19",94,".",1.82265,11.7481,9.43553,175,"Promoter (<=1kb)",2,488905,490392,1488,2,"YBR126C","YBR126C",0
"chrII",560564,561311,748,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_20",213,".",3.07304,23.9752,21.3004,618,"Promoter (<=1kb)",2,561634,562764,1131,1,"YBR161W","YBR161W",-323
"chrII",645102,645293,192,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_21",118,".",2.39583,14.3109,11.8935,49,"Promoter (<=1kb)",2,645550,645978,429,1,"YBR210W","YBR210W",-257
"chrII",681539,681738,200,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_22",35,".",1.78323,5.44951,3.51689,65,"Promoter (1-2kb)",2,680362,680562,201,1,"YBR230W-A","YBR230W-A",1177
"chrII",692276,692551,276,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_23",318,".",3.68091,34.7151,31.8403,124,"Promoter (<=1kb)",2,691969,694518,2550,1,"YBR237W","YBR237W",307
"chrII",731347,731639,293,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_24",433,".",4.15466,46.3741,43.3238,139,"Promoter (<=1kb)",2,730387,732453,2067,1,"YBR259W","YBR259W",960
"chrIII",50789,52117,1329,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_25",92,".",1.74663,11.5049,9.20357,916,"Promoter (<=1kb)",3,50838,52340,1503,1,"YCL040W","YCL040W",0
"chrIII",78430,78668,239,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_26",76,".",2.14761,9.90501,7.68174,110,"Promoter (<=1kb)",3,79162,82275,3114,1,"YCL024W","YCL024W",-494
"chrIII",123536,123726,191,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_27",128,".",2.28624,15.31,12.858,127,"Promoter (<=1kb)",3,122530,123003,474,2,"YCR006C","YCR006C",-533
"chrIII",137424,137875,452,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_28",146,".",2.54988,17.1472,14.6368,127,"Promoter (<=1kb)",3,137746,138996,1251,1,"YCR012W","YCR012W",0
"chrIII",163543,164000,458,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_29",261,".",3.3274,28.9616,26.1967,221,"Promoter (<=1kb)",3,163446,163856,411,2,"YCR025C","YCR025C",0
"chrIII",295413,295620,208,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_30",80,".",2.08944,10.3042,8.06023,151,"Promoter (<=1kb)",3,294439,294705,267,1,"YCR097W-A","YCR097W-A",974
"chrIV",61132,61352,221,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_31",30,".",1.45449,4.94834,3.05969,159,"Promoter (<=1kb)",4,60872,61801,930,2,"YDL222C","YDL222C",449
"chrIV",61485,61705,221,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_32",27,".",1.44775,4.60436,2.74749,163,"Promoter (<=1kb)",4,60872,61801,930,2,"YDL222C","YDL222C",96
"chrIV",61841,62529,689,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_33",380,".",3.45009,40.9898,38.0166,442,"Promoter (<=1kb)",4,62011,62562,552,1,"YDL221W","YDL221W",0
"chrIV",76747,77493,747,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_34",1379,".",7.52236,142.381,137.933,234,"Promoter (<=1kb)",4,74446,76545,2100,2,"YDL214C","YDL214C",-202
"chrIV",132730,133029,300,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_35",89,".",2.34332,11.27,8.97887,120,"Promoter (<=1kb)",4,133437,134723,1287,1,"YDL182W","YDL182W",-408
"chrIV",239426,239626,201,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_36",29,".",1.57879,4.8319,2.9533,67,"Promoter (<=1kb)",4,239019,239606,588,2,"YDL125C","YDL125C",0
"chrIV",342686,343013,328,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_37",276,".",3.1454,30.4637,27.6708,149,"Promoter (1-2kb)",4,341619,343985,2367,1,"YDL060W","YDL060W",1067
"chrIV",410287,413041,2755,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_38",1364,".",5.88556,140.837,136.431,1148,"Promoter (<=1kb)",4,411825,413000,1176,1,"YDL022W","YDL022W",0
"chrIV",449634,449953,320,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_39",516,".",2.81037,54.8093,51.6662,177,"Promoter (1-2kb)",4,447984,449276,1293,1,"YDL001W","YDL001W",1650
"chrIV",465229,465460,232,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_40",125,".",2.31571,14.9803,12.5391,142,"Promoter (<=1kb)",4,465051,465383,333,2,"YDR010C","YDR010C",0
"chrIV",519701,519892,192,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_41",171,".",3.55493,19.7727,17.1963,119,"Promoter (<=1kb)",4,518040,519356,1317,2,"YDR034C-D","YDR034C-C",-345
"chrIV",538185,538505,321,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_42",43,".",1.61424,6.30626,4.30708,193,"Promoter (<=1kb)",4,535192,538467,3276,2,"YDR040C","YDR040C",0
"chrIV",538842,539646,805,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_43",1009,".",8.07437,104.687,100.958,219,"Promoter (<=1kb)",4,539803,540414,612,1,"YDR041W","YDR041W",-157
"chrIV",580065,580443,379,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_44",72,".",2.13734,9.40225,7.20781,270,"Promoter (<=1kb)",4,580687,581784,1098,1,"YDR065W","YDR065W",-244
"chrIV",591729,592254,526,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_45",201,".",2.65277,22.8219,20.1741,363,"Promoter (<=1kb)",4,592439,592948,510,1,"YDR073W","YDR073W",-185
"chrIV",593232,593422,191,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_46",39,".",1.71363,5.9481,3.97653,124,"Promoter (<=1kb)",4,593893,596583,2691,1,"YDR074W","YDR074W",-471
"chrIV",593604,594658,1055,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_47",185,".",2.35287,21.1192,18.5099,289,"Promoter (<=1kb)",4,593893,596583,2691,1,"YDR074W","YDR074W",0
"chrIV",594729,595355,627,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_48",40,".",1.53737,6.02712,4.04958,536,"Promoter (<=1kb)",4,593893,596583,2691,1,"YDR074W","YDR074W",836
"chrIV",595766,595984,219,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_49",27,".",1.44237,4.64331,2.78243,63,"Promoter (1-2kb)",4,597156,598082,927,1,"YDR075W","YDR075W",-1172
"chrIV",596080,596639,560,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_50",91,".",1.82776,11.4395,9.14084,254,"Promoter (<=1kb)",4,597156,598082,927,1,"YDR075W","YDR075W",-517
"chrIV",599807,600479,673,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_51",833,".",4.97977,86.9254,83.3593,411,"Promoter (<=1kb)",4,600793,601809,1017,1,"YDR077W","YDR077W",-314
"chrIV",600606,602042,1437,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_52",151,".",1.94619,17.6642,15.1389,1120,"Promoter (<=1kb)",4,600793,601809,1017,1,"YDR077W","YDR077W",0
"chrIV",616406,616697,292,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_53",128,".",2.60698,15.2522,12.802,153,"Promoter (<=1kb)",4,614288,616150,1863,2,"YDR085C","YDR085C",-256
"chrIV",619895,620098,204,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_54",81,".",2.1538,10.3754,8.12779,59,"Promoter (<=1kb)",4,618497,619645,1149,2,"YDR088C","YDR088C",-250
"chrIV",721057,721289,233,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_55",53,".",1.74323,7.40597,5.33095,132,"Promoter (<=1kb)",4,720962,721297,336,2,"YDR133C","YDR133C",8
"chrIV",721337,721600,264,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_56",44,".",1.75456,6.47528,4.46352,74,"Promoter (<=1kb)",4,720962,721297,336,2,"YDR133C","YDR133C",-40
"chrIV",884333,884524,192,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_57",104,".",2.84128,12.7953,10.4357,118,"Promoter (<=1kb)",4,884727,886865,2139,1,"YDR211W","YDR211W",-203
"chrIV",914411,914603,193,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_58",54,".",1.85547,7.58111,5.49522,44,"Promoter (<=1kb)",4,914317,914712,396,2,"YDR224C","YDR224C",109
"chrIV",915754,916222,469,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_59",54,".",1.78771,7.5697,5.4845,352,"Promoter (<=1kb)",4,915530,915928,399,1,"YDR225W","YDR225W",224
"chrIV",954950,955179,230,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_60",27,".",1.67642,4.60093,2.74433,81,"Promoter (<=1kb)",4,955133,955333,201,1,"YDR246W-A","YDR246W-A",0
"chrIV",976517,976888,372,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_61",407,".",4.03617,43.7611,40.7448,170,"Promoter (<=1kb)",4,976717,977229,513,2,"YDR260C","YDR260C",341
"chrIV",1017141,1017334,194,"*","macs_SRR500627_SRR500631_Sko1IP_mockIP_KCI_peak_62",105,".",2.24677,12.8783,10.5157,74,"Promoter (<=1kb)",4,1017001,1017318,318,2,"YDR278C","YDR278C",0
