"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"chrI",2700,2892,193,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_1",95,".",2.49606,11.7454,9.54259,82,"Promoter (<=1kb)",1,2480,2707,228,1,"YAL067W-A","YAL067W-A",220
"chrI",28458,28926,469,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_2",725,".",5.11913,75.6632,72.5183,251,"Promoter (<=1kb)",1,24000,27968,3969,2,"YAL063C","YAL063C",-490
"chrI",29158,29548,391,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_3",181,".",2.39264,20.5962,18.1655,161,"Promoter (1-2kb)",1,24000,27968,3969,2,"YAL063C","YAL063C",-1190
"chrI",29705,30043,339,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_4",134,".",2.4786,15.7984,13.4641,168,"Promoter (1-2kb)",1,31567,32940,1374,1,"YAL062W","YAL062W",-1524
"chrI",69984,70166,183,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_5",40,".",1.70189,5.86237,4.00042,130,"Promoter (<=1kb)",1,68716,69525,810,2,"YAL039C","YAL039C",-459
"chrI",71769,73306,1538,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_6",94,".",1.72702,11.6053,9.40776,787,"Promoter (<=1kb)",1,72326,73300,975,2,"YAL037C-B","YAL037C-B",0
"chrI",106438,106670,233,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_7",43,".",1.78664,6.28423,4.38946,155,"Promoter (<=1kb)",1,101565,105872,4308,2,"YAL024C","YAL024C",-566
"chrI",126073,126265,193,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_8",108,".",2.08718,13.1557,10.8975,87,"Promoter (1-2kb)",1,124755,125069,315,2,"YAL016C-A","YAL016C-A",-1004
"chrI",131190,131732,543,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_9",19,".",1.47853,3.5421,1.93038,210,"Promoter (<=1kb)",1,130799,131983,1185,1,"YAL012W","YAL012W",391
"chrI",142614,143128,515,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_10",48,".",1.50815,6.8311,4.89499,260,"Promoter (<=1kb)",1,142174,143160,987,1,"YAL003W","YAL003W",440
"chrI",190245,190602,358,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_11",70,".",2.25707,9.16854,7.08831,204,"Promoter (<=1kb)",1,190193,192256,2064,1,"YAR035W","YAR035W",52
"chrI",190812,191012,201,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_12",33,".",1.88477,5.19675,3.39546,141,"Promoter (<=1kb)",1,190193,192256,2064,1,"YAR035W","YAR035W",619
"chrII",29091,29291,201,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_13",39,".",1.82089,5.85365,3.99238,73,"Promoter (<=1kb)",2,29935,31251,1317,1,"YBL100W-B","YBL100W-A",-644
"chrII",100949,101415,467,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_14",76,".",2.08944,9.71102,7.60268,359,"Promoter (<=1kb)",2,100371,101156,786,2,"YBL064C","YBL064C",0
"chrII",135982,136301,320,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_15",807,".",5.20195,84.0052,80.7377,158,"Promoter (<=1kb)",2,135998,136366,369,1,"YBL044W","YBL044W",0
"chrII",163458,163712,255,"*","macs_SRR500626_SRR500630_Sko1IP_YEPD_peak_16",28,".",1.59229,4.59497,2.85165,88,"Promoter (<=1kb)",2,163041,163997,957,2,"YBL030C","YBL030C",285
